Participant,Question,Response,Needs Reverse Coding?,Temp Coded Value,Temp Reversed Coded Value,Recoded Value
225,F1,Somewhat Agree,No,4,2,4
226,F1,Strongly Agree,No,5,1,5
227,F1,Somewhat Agree,No,4,2,4
228,F1,Neither Agree nor Disagree,No,3,3,3
229,F1,Somewhat Agree,No,4,2,4
230,F1,Strongly Agree,No,5,1,5
231,F1,Strongly Agree,No,5,1,5
232,F1,Strongly Agree,No,5,1,5
233,F1,Strongly Agree,No,5,1,5
234,F1,Neither Agree nor Disagree,No,3,3,3
235,F1,Strongly Agree,No,5,1,5
236,F1,Somewhat Agree,No,4,2,4
237,F1,Strongly Agree,No,5,1,5
238,F1,Somewhat Agree,No,4,2,4
239,F1,Somewhat Agree,No,4,2,4
240,F1,Strongly Agree,No,5,1,5
241,F1,Somewhat Agree,No,4,2,4
242,F1,Somewhat Agree,No,4,2,4
243,F1,Neither Agree nor Disagree,No,3,3,3
244,F1,Strongly Agree,No,5,1,5
245,F1,Somewhat Agree,No,4,2,4
246,F1,Neither Agree nor Disagree,No,3,3,3
247,F1,Strongly Agree,No,5,1,5
248,F1,Neither Agree nor Disagree,No,3,3,3
249,F1,Somewhat Agree,No,4,2,4
250,F1,Somewhat Agree,No,4,2,4
251,F1,Strongly Agree,No,5,1,5
252,F1,Somewhat Agree,No,4,2,4
253,F1,Strongly Agree,No,5,1,5
254,F1,Somewhat Agree,No,4,2,4
255,F1,Somewhat Agree,No,4,2,4
256,F1,Somewhat Agree,No,4,2,4
257,F1,Somewhat Agree,No,4,2,4
258,F1,Somewhat Agree,No,4,2,4
259,F1,Somewhat Agree,No,4,2,4
260,F1,Somewhat Agree,No,4,2,4
261,F1,Somewhat Agree,No,4,2,4
262,F1,Somewhat Agree,No,4,2,4
263,F1,Strongly Agree,No,5,1,5
264,F1,Somewhat Agree,No,4,2,4
1,F5,Somewhat Disagree,Yes,2,4,4
2,F5,Somewhat Disagree,Yes,2,4,4
3,F5,Neither Agree nor Disagree,Yes,3,3,3
4,F5,Somewhat Agree,Yes,4,2,2
5,F5,Strongly Disagree,Yes,1,5,5
6,F5,Neither Agree nor Disagree,Yes,3,3,3
7,F5,Neither Agree nor Disagree,Yes,3,3,3
8,F5,Neither Agree nor Disagree,Yes,3,3,3
9,F5,Neither Agree nor Disagree,Yes,3,3,3
10,F5,Strongly Disagree,Yes,1,5,5
11,F5,Somewhat Disagree,Yes,2,4,4
12,F5,Somewhat Agree,Yes,4,2,2
13,F5,Somewhat Disagree,Yes,2,4,4
14,F5,Somewhat Disagree,Yes,2,4,4
15,F5,Somewhat Disagree,Yes,2,4,4
16,F5,Somewhat Agree,Yes,4,2,2
17,F5,Neither Agree nor Disagree,Yes,3,3,3
18,F5,Somewhat Agree,Yes,4,2,2
19,F5,Strongly Disagree,Yes,1,5,5
20,F5,Somewhat Agree,Yes,4,2,2
21,F5,Somewhat Agree,Yes,4,2,2
22,F5,Somewhat Disagree,Yes,2,4,4
23,F5,Somewhat Disagree,Yes,2,4,4
24,F5,Neither Agree nor Disagree,Yes,3,3,3
25,F5,Somewhat Agree,Yes,4,2,2
26,F5,Somewhat Agree,Yes,4,2,2
27,F5,Somewhat Agree,Yes,4,2,2
28,F5,Somewhat Disagree,Yes,2,4,4
29,F5,Strongly Agree,Yes,5,1,1
30,F5,Strongly Disagree,Yes,1,5,5
31,F5,Somewhat Disagree,Yes,2,4,4
32,F5,Somewhat Disagree,Yes,2,4,4
33,F5,Somewhat Disagree,Yes,2,4,4
34,F5,Somewhat Agree,Yes,4,2,2
35,F5,Neither Agree nor Disagree,Yes,3,3,3
36,F5,Strongly Disagree,Yes,1,5,5
37,F5,Somewhat Disagree,Yes,2,4,4
38,F5,Somewhat Agree,Yes,4,2,2
39,F5,Neither Agree nor Disagree,Yes,3,3,3
40,F5,Neither Agree nor Disagree,Yes,3,3,3
41,F5,Somewhat Agree,Yes,4,2,2
42,F5,Neither Agree nor Disagree,Yes,3,3,3
43,F5,Somewhat Agree,Yes,4,2,2
44,F5,Somewhat Disagree,Yes,2,4,4
45,F5,Neither Agree nor Disagree,Yes,3,3,3
46,F5,Neither Agree nor Disagree,Yes,3,3,3
47,F5,Somewhat Disagree,Yes,2,4,4
48,F5,Somewhat Disagree,Yes,2,4,4
49,F5,Somewhat Agree,Yes,4,2,2
50,F5,Somewhat Disagree,Yes,2,4,4
51,F5,Neither Agree nor Disagree,Yes,3,3,3
52,F5,Somewhat Disagree,Yes,2,4,4
53,F5,Strongly Disagree,Yes,1,5,5
54,F5,Somewhat Disagree,Yes,2,4,4
55,F5,Neither Agree nor Disagree,Yes,3,3,3
56,F5,Neither Agree nor Disagree,Yes,3,3,3
57,F5,Strongly Disagree,Yes,1,5,5
58,F5,Somewhat Agree,Yes,4,2,2
59,F5,Somewhat Disagree,Yes,2,4,4
60,F5,Somewhat Agree,Yes,4,2,2
61,F5,Somewhat Agree,Yes,4,2,2
62,F5,Somewhat Agree,Yes,4,2,2
63,F5,Somewhat Disagree,Yes,2,4,4
64,F5,Somewhat Disagree,Yes,2,4,4
65,F5,Somewhat Agree,Yes,4,2,2
66,F5,Neither Agree nor Disagree,Yes,3,3,3
67,F5,Somewhat Disagree,Yes,2,4,4
68,F5,Somewhat Disagree,Yes,2,4,4
69,F5,Somewhat Disagree,Yes,2,4,4
70,F5,Strongly Disagree,Yes,1,5,5
71,F5,Somewhat Disagree,Yes,2,4,4
72,F5,Neither Agree nor Disagree,Yes,3,3,3
73,F5,Somewhat Agree,Yes,4,2,2
74,F5,Neither Agree nor Disagree,Yes,3,3,3
75,F5,Somewhat Disagree,Yes,2,4,4
76,F5,Somewhat Disagree,Yes,2,4,4
77,F5,Neither Agree nor Disagree,Yes,3,3,3
78,F5,"",Yes,,,
79,F5,Somewhat Disagree,Yes,2,4,4
80,F5,"",Yes,,,
81,F5,Somewhat Agree,Yes,4,2,2
82,F5,Somewhat Disagree,Yes,2,4,4
83,F5,Somewhat Disagree,Yes,2,4,4
84,F5,Somewhat Disagree,Yes,2,4,4
85,F5,Somewhat Agree,Yes,4,2,2
86,F5,Neither Agree nor Disagree,Yes,3,3,3
87,F5,Somewhat Agree,Yes,4,2,2
88,F5,Somewhat Disagree,Yes,2,4,4
89,F5,Neither Agree nor Disagree,Yes,3,3,3
90,F5,Somewhat Disagree,Yes,2,4,4
91,F5,Neither Agree nor Disagree,Yes,3,3,3
92,F5,Somewhat Disagree,Yes,2,4,4
93,F5,Somewhat Disagree,Yes,2,4,4
94,F5,Neither Agree nor Disagree,Yes,3,3,3
95,F5,Somewhat Agree,Yes,4,2,2
96,F5,Somewhat Disagree,Yes,2,4,4
97,F5,Neither Agree nor Disagree,Yes,3,3,3
98,F5,Somewhat Disagree,Yes,2,4,4
99,F5,Somewhat Disagree,Yes,2,4,4
100,F5,Neither Agree nor Disagree,Yes,3,3,3
101,F5,Neither Agree nor Disagree,Yes,3,3,3
102,F5,Strongly Disagree,Yes,1,5,5
103,F5,Neither Agree nor Disagree,Yes,3,3,3
104,F5,Somewhat Agree,Yes,4,2,2
105,F5,Somewhat Disagree,Yes,2,4,4
106,F5,Somewhat Disagree,Yes,2,4,4
107,F5,Somewhat Disagree,Yes,2,4,4
108,F5,Somewhat Agree,Yes,4,2,2
109,F5,Somewhat Agree,Yes,4,2,2
110,F5,Somewhat Disagree,Yes,2,4,4
111,F5,Neither Agree nor Disagree,Yes,3,3,3
112,F5,Somewhat Disagree,Yes,2,4,4
113,F5,Somewhat Disagree,Yes,2,4,4
114,F5,Neither Agree nor Disagree,Yes,3,3,3
115,F5,Strongly Agree,Yes,5,1,1
116,F5,Neither Agree nor Disagree,Yes,3,3,3
117,F5,Neither Agree nor Disagree,Yes,3,3,3
118,F5,Somewhat Disagree,Yes,2,4,4
119,F5,Somewhat Disagree,Yes,2,4,4
120,F5,Neither Agree nor Disagree,Yes,3,3,3
121,F5,Somewhat Agree,Yes,4,2,2
122,F5,Somewhat Agree,Yes,4,2,2
123,F5,Neither Agree nor Disagree,Yes,3,3,3
124,F5,Neither Agree nor Disagree,Yes,3,3,3
125,F5,Somewhat Disagree,Yes,2,4,4
126,F5,Somewhat Agree,Yes,4,2,2
127,F5,Somewhat Disagree,Yes,2,4,4
128,F5,Neither Agree nor Disagree,Yes,3,3,3
129,F5,Neither Agree nor Disagree,Yes,3,3,3
130,F5,Somewhat Disagree,Yes,2,4,4
131,F5,Somewhat Disagree,Yes,2,4,4
132,F5,Neither Agree nor Disagree,Yes,3,3,3
133,F5,Somewhat Agree,Yes,4,2,2
134,F5,Somewhat Disagree,Yes,2,4,4
135,F5,Somewhat Disagree,Yes,2,4,4
136,F5,Neither Agree nor Disagree,Yes,3,3,3
137,F5,Somewhat Disagree,Yes,2,4,4
138,F5,Neither Agree nor Disagree,Yes,3,3,3
139,F5,Neither Agree nor Disagree,Yes,3,3,3
140,F5,Somewhat Disagree,Yes,2,4,4
141,F5,Neither Agree nor Disagree,Yes,3,3,3
142,F5,Somewhat Disagree,Yes,2,4,4
143,F5,Somewhat Disagree,Yes,2,4,4
144,F5,Somewhat Disagree,Yes,2,4,4
145,F5,Neither Agree nor Disagree,Yes,3,3,3
146,F5,Somewhat Disagree,Yes,2,4,4
147,F5,Neither Agree nor Disagree,Yes,3,3,3
148,F5,Somewhat Disagree,Yes,2,4,4
149,F5,Neither Agree nor Disagree,Yes,3,3,3
150,F5,Somewhat Agree,Yes,4,2,2
151,F5,Somewhat Disagree,Yes,2,4,4
152,F5,Somewhat Disagree,Yes,2,4,4
153,F5,Strongly Disagree,Yes,1,5,5
154,F5,Somewhat Disagree,Yes,2,4,4
155,F5,Neither Agree nor Disagree,Yes,3,3,3
156,F5,Strongly Disagree,Yes,1,5,5
157,F5,Strongly Disagree,Yes,1,5,5
158,F5,Somewhat Disagree,Yes,2,4,4
159,F5,Neither Agree nor Disagree,Yes,3,3,3
160,F5,Neither Agree nor Disagree,Yes,3,3,3
161,F5,Somewhat Disagree,Yes,2,4,4
162,F5,Neither Agree nor Disagree,Yes,3,3,3
163,F5,"",Yes,,,
164,F5,Somewhat Disagree,Yes,2,4,4
165,F5,Somewhat Disagree,Yes,2,4,4
166,F5,Neither Agree nor Disagree,Yes,3,3,3
167,F5,Somewhat Disagree,Yes,2,4,4
168,F5,Neither Agree nor Disagree,Yes,3,3,3
169,F5,Neither Agree nor Disagree,Yes,3,3,3
170,F5,Somewhat Disagree,Yes,2,4,4
171,F5,Neither Agree nor Disagree,Yes,3,3,3
172,F5,Somewhat Disagree,Yes,2,4,4
173,F5,Strongly Disagree,Yes,1,5,5
174,F5,Strongly Disagree,Yes,1,5,5
175,F5,Somewhat Agree,Yes,4,2,2
176,F5,Neither Agree nor Disagree,Yes,3,3,3
177,F5,Somewhat Disagree,Yes,2,4,4
178,F5,Somewhat Disagree,Yes,2,4,4
179,F5,Somewhat Disagree,Yes,2,4,4
180,F5,Somewhat Agree,Yes,4,2,2
181,F5,Somewhat Agree,Yes,4,2,2
182,F5,Strongly Disagree,Yes,1,5,5
183,F5,Somewhat Disagree,Yes,2,4,4
184,F5,Somewhat Disagree,Yes,2,4,4
185,F5,Strongly Agree,Yes,5,1,1
186,F5,Somewhat Disagree,Yes,2,4,4
187,F5,Somewhat Disagree,Yes,2,4,4
188,F5,Neither Agree nor Disagree,Yes,3,3,3
189,F5,Somewhat Disagree,Yes,2,4,4
190,F5,Somewhat Agree,Yes,4,2,2
191,F5,Somewhat Disagree,Yes,2,4,4
192,F5,Strongly Disagree,Yes,1,5,5
193,F5,Somewhat Disagree,Yes,2,4,4
194,F5,Somewhat Agree,Yes,4,2,2
195,F5,Somewhat Disagree,Yes,2,4,4
196,F5,Neither Agree nor Disagree,Yes,3,3,3
197,F5,Somewhat Agree,Yes,4,2,2
198,F5,Somewhat Disagree,Yes,2,4,4
199,F5,Neither Agree nor Disagree,Yes,3,3,3
200,F5,Somewhat Agree,Yes,4,2,2
201,F5,Somewhat Agree,Yes,4,2,2
202,F5,Somewhat Disagree,Yes,2,4,4
203,F5,Neither Agree nor Disagree,Yes,3,3,3
204,F5,Neither Agree nor Disagree,Yes,3,3,3
205,F5,Somewhat Agree,Yes,4,2,2
206,F5,Somewhat Disagree,Yes,2,4,4
207,F5,Strongly Agree,Yes,5,1,1
208,F5,Somewhat Disagree,Yes,2,4,4
209,F5,Somewhat Agree,Yes,4,2,2
210,F5,Somewhat Agree,Yes,4,2,2
211,F5,Strongly Agree,Yes,5,1,1
212,F5,Neither Agree nor Disagree,Yes,3,3,3
213,F5,Strongly Disagree,Yes,1,5,5
214,F5,Neither Agree nor Disagree,Yes,3,3,3
215,F5,Somewhat Agree,Yes,4,2,2
216,F5,Neither Agree nor Disagree,Yes,3,3,3
217,F5,Somewhat Disagree,Yes,2,4,4
218,F5,Somewhat Disagree,Yes,2,4,4
219,F5,Strongly Disagree,Yes,1,5,5
220,F5,Somewhat Agree,Yes,4,2,2
221,F5,Strongly Disagree,Yes,1,5,5
222,F5,Neither Agree nor Disagree,Yes,3,3,3
223,F5,Neither Agree nor Disagree,Yes,3,3,3
224,F5,Somewhat Disagree,Yes,2,4,4
225,F5,Somewhat Disagree,Yes,2,4,4
226,F5,Neither Agree nor Disagree,Yes,3,3,3
227,F5,Somewhat Disagree,Yes,2,4,4
228,F5,Somewhat Agree,Yes,4,2,2
229,F5,Somewhat Disagree,Yes,2,4,4
230,F5,Somewhat Disagree,Yes,2,4,4
231,F5,Neither Agree nor Disagree,Yes,3,3,3
232,F5,Neither Agree nor Disagree,Yes,3,3,3
233,F5,Neither Agree nor Disagree,Yes,3,3,3
234,F5,Neither Agree nor Disagree,Yes,3,3,3
235,F5,Neither Agree nor Disagree,Yes,3,3,3
236,F5,Somewhat Disagree,Yes,2,4,4
237,F5,Somewhat Disagree,Yes,2,4,4
238,F5,Somewhat Agree,Yes,4,2,2
239,F5,Somewhat Disagree,Yes,2,4,4
240,F5,Somewhat Disagree,Yes,2,4,4
241,F5,Somewhat Agree,Yes,4,2,2
242,F5,Somewhat Agree,Yes,4,2,2
243,F5,Somewhat Disagree,Yes,2,4,4
244,F5,Somewhat Disagree,Yes,2,4,4
245,F5,Somewhat Disagree,Yes,2,4,4
246,F5,Somewhat Agree,Yes,4,2,2
247,F5,Neither Agree nor Disagree,Yes,3,3,3
248,F5,Somewhat Agree,Yes,4,2,2
249,F5,Somewhat Disagree,Yes,2,4,4
250,F5,Somewhat Agree,Yes,4,2,2
251,F5,Somewhat Disagree,Yes,2,4,4
252,F5,Somewhat Disagree,Yes,2,4,4
253,F5,Somewhat Disagree,Yes,2,4,4
254,F5,Neither Agree nor Disagree,Yes,3,3,3
255,F5,Somewhat Disagree,Yes,2,4,4
256,F5,Neither Agree nor Disagree,Yes,3,3,3
257,F5,Somewhat Agree,Yes,4,2,2
258,F5,Neither Agree nor Disagree,Yes,3,3,3
259,F5,Neither Agree nor Disagree,Yes,3,3,3
260,F5,Somewhat Disagree,Yes,2,4,4
261,F5,Somewhat Agree,Yes,4,2,2
262,F5,Neither Agree nor Disagree,Yes,3,3,3
263,F5,Somewhat Disagree,Yes,2,4,4
264,F5,Strongly Disagree,Yes,1,5,5
1,F2,Somewhat Agree,No,4,2,4
2,F2,Somewhat Agree,No,4,2,4
3,F2,Somewhat Agree,No,4,2,4
4,F2,Strongly Agree,No,5,1,5
5,F2,Neither Agree nor Disagree,No,3,3,3
6,F2,Strongly Agree,No,5,1,5
7,F2,Somewhat Agree,No,4,2,4
8,F2,Somewhat Agree,No,4,2,4
9,F2,Somewhat Agree,No,4,2,4
10,F2,Strongly Agree,No,5,1,5
11,F2,Somewhat Agree,No,4,2,4
12,F2,Somewhat Agree,No,4,2,4
13,F2,Somewhat Agree,No,4,2,4
14,F2,Somewhat Agree,No,4,2,4
15,F2,Strongly Agree,No,5,1,5
16,F2,Strongly Agree,No,5,1,5
17,F2,Strongly Agree,No,5,1,5
18,F2,Somewhat Disagree,No,2,4,2
19,F2,Strongly Agree,No,5,1,5
20,F2,"",No,,,
21,F2,Strongly Agree,No,5,1,5
22,F2,Somewhat Agree,No,4,2,4
23,F2,Strongly Agree,No,5,1,5
24,F2,Somewhat Agree,No,4,2,4
25,F2,Strongly Agree,No,5,1,5
26,F2,Somewhat Agree,No,4,2,4
27,F2,Somewhat Agree,No,4,2,4
28,F2,Somewhat Agree,No,4,2,4
29,F2,Somewhat Agree,No,4,2,4
30,F2,Somewhat Agree,No,4,2,4
31,F2,Strongly Agree,No,5,1,5
32,F2,Strongly Agree,No,5,1,5
33,F2,Somewhat Agree,No,4,2,4
34,F2,Strongly Agree,No,5,1,5
35,F2,Strongly Agree,No,5,1,5
36,F2,Strongly Agree,No,5,1,5
37,F2,Strongly Agree,No,5,1,5
38,F2,Somewhat Agree,No,4,2,4
39,F2,Neither Agree nor Disagree,No,3,3,3
40,F2,"",No,,,
41,F2,Somewhat Agree,No,4,2,4
42,F2,Strongly Agree,No,5,1,5
43,F2,Strongly Agree,No,5,1,5
44,F2,Somewhat Agree,No,4,2,4
45,F2,Strongly Agree,No,5,1,5
46,F2,Strongly Agree,No,5,1,5
47,F2,Strongly Agree,No,5,1,5
48,F2,Strongly Agree,No,5,1,5
49,F2,Somewhat Agree,No,4,2,4
50,F2,Somewhat Agree,No,4,2,4
51,F2,Strongly Agree,No,5,1,5
52,F2,Somewhat Agree,No,4,2,4
53,F2,Strongly Agree,No,5,1,5
54,F2,Strongly Agree,No,5,1,5
55,F2,Somewhat Agree,No,4,2,4
56,F2,Somewhat Agree,No,4,2,4
57,F2,Strongly Agree,No,5,1,5
58,F2,Somewhat Agree,No,4,2,4
59,F2,Strongly Agree,No,5,1,5
60,F2,Somewhat Agree,No,4,2,4
61,F2,Strongly Agree,No,5,1,5
62,F2,Somewhat Agree,No,4,2,4
63,F2,Strongly Agree,No,5,1,5
64,F2,Somewhat Agree,No,4,2,4
